title,cluster,cluster_description
661 3,2,Woodland and Scrub
497 12,1,Built Surface
497 5,3,Amenity Grassland
497 1,3,Amenity Grassland
497 4,1,Built Surface
497 10,1,Built Surface
497 11,1,Built Surface
242 2,1,Built Surface
145 7,3,Amenity Grassland
145 9,2,Woodland and Scrub
112 7,3,Amenity Grassland
112 3,3,Amenity Grassland
112 5,3,Amenity Grassland
112 2,3,Amenity Grassland
108 10,3,Amenity Grassland
108 7,3,Amenity Grassland
108 3,3,Amenity Grassland
108 1,2,Woodland and Scrub
108 4,2,Woodland and Scrub
171 1,2,Woodland and Scrub
203 11,2,Woodland and Scrub
203 6,2,Woodland and Scrub
203 4,2,Woodland and Scrub
203 2,2,Woodland and Scrub
203 5,2,Woodland and Scrub
203 8,2,Woodland and Scrub
203 9,2,Woodland and Scrub
202 2,2,Woodland and Scrub
202 1,3,Amenity Grassland
202 8,3,Amenity Grassland
202 6,1,Built Surface
702 1,1,Built Surface
799 9,2,Woodland and Scrub
799 1,1,Built Surface
922 4,1,Built Surface
922 8,3,Amenity Grassland
922 7,2,Woodland and Scrub
922 1,3,Amenity Grassland
987 5,3,Amenity Grassland
1020 6,3,Amenity Grassland
1020 4,2,Woodland and Scrub
1020 1,2,Woodland and Scrub
1020 5,3,Amenity Grassland
1020 3,2,Woodland and Scrub
1020 11,3,Amenity Grassland
1020 8,3,Amenity Grassland
990 6,2,Woodland and Scrub
989 3,3,Amenity Grassland
989 5,2,Woodland and Scrub
989 2,3,Amenity Grassland
989 11,2,Woodland and Scrub
989 8,3,Amenity Grassland
989 6,3,Amenity Grassland
989 1,2,Woodland and Scrub
990 8,2,Woodland and Scrub
990 9,2,Woodland and Scrub
990 5,3,Amenity Grassland
990 3,3,Amenity Grassland
990 1,2,Woodland and Scrub
990 7,3,Amenity Grassland
1084 2,3,Amenity Grassland
1084 7,1,Built Surface
1084 12,1,Built Surface
1084 6,2,Woodland and Scrub
1084 9,2,Woodland and Scrub
1084 3,3,Amenity Grassland
1083 1,1,Built Surface
1083 6,3,Amenity Grassland
1083 2,1,Built Surface
248 6,2,Woodland and Scrub
248 5,3,Amenity Grassland
248 9,3,Amenity Grassland
248 2,3,Amenity Grassland
248 8,2,Woodland and Scrub
248 7,3,Amenity Grassland
248 3,2,Woodland and Scrub
311 1,3,Amenity Grassland
311 6,2,Woodland and Scrub
311 8,3,Amenity Grassland
311 7,3,Amenity Grassland
311 5,2,Woodland and Scrub
311 9,2,Woodland and Scrub
343 6,2,Woodland and Scrub
342 6,2,Woodland and Scrub
342 1,1,Built Surface
342 8,1,Built Surface
342 5,1,Built Surface
237 9,3,Amenity Grassland
237 5,3,Amenity Grassland
300 3,2,Woodland and Scrub
300 7,2,Woodland and Scrub
300 6,3,Amenity Grassland
300 4,2,Woodland and Scrub
300 1,2,Woodland and Scrub
300 5,3,Amenity Grassland
300 8,2,Woodland and Scrub
299 2,2,Woodland and Scrub
299 3,3,Amenity Grassland
299 8,2,Woodland and Scrub
299 5,2,Woodland and Scrub
299 4,2,Woodland and Scrub
299 1,2,Woodland and Scrub
299 7,3,Amenity Grassland
298 6,3,Amenity Grassland
298 3,3,Amenity Grassland
298 4,3,Amenity Grassland
298 1,1,Built Surface
298 11,1,Built Surface
363 2,2,Woodland and Scrub
363 8,2,Woodland and Scrub
363 6,2,Woodland and Scrub
363 4,2,Woodland and Scrub
1033 9,2,Woodland and Scrub
971 4,3,Amenity Grassland
971 9,3,Amenity Grassland
971 2,2,Woodland and Scrub
971 7,3,Amenity Grassland
1004 12,3,Amenity Grassland
1004 5,3,Amenity Grassland
1004 6,3,Amenity Grassland
1004 3,2,Woodland and Scrub
1004 9,2,Woodland and Scrub
941 8,2,Woodland and Scrub
941 7,2,Woodland and Scrub
1007 10,3,Amenity Grassland
1007 2,2,Woodland and Scrub
1007 6,3,Amenity Grassland
686 9,1,Built Surface
686 4,3,Amenity Grassland
686 1,3,Amenity Grassland
686 11,1,Built Surface
686 12,3,Amenity Grassland
686 7,3,Amenity Grassland
686 10,3,Amenity Grassland
819 8,3,Amenity Grassland
819 5,3,Amenity Grassland
819 4,1,Built Surface
819 7,3,Amenity Grassland
819 11,3,Amenity Grassland
819 10,1,Built Surface
819 1,1,Built Surface
690 10,3,Amenity Grassland
690 3,3,Amenity Grassland
690 8,3,Amenity Grassland
393 5,2,Woodland and Scrub
393 11,2,Woodland and Scrub
393 8,3,Amenity Grassland
393 2,3,Amenity Grassland
393 1,3,Amenity Grassland
393 7,3,Amenity Grassland
393 3,3,Amenity Grassland
680 7,2,Woodland and Scrub
680 5,1,Built Surface
680 3,3,Amenity Grassland
584 11,3,Amenity Grassland
551 8,2,Woodland and Scrub
612 6,1,Built Surface
612 2,3,Amenity Grassland
612 5,3,Amenity Grassland
612 8,3,Amenity Grassland
612 7,2,Woodland and Scrub
612 4,2,Woodland and Scrub
612 3,2,Woodland and Scrub
136 7,3,Amenity Grassland
136 6,3,Amenity Grassland
136 4,2,Woodland and Scrub
233 11,1,Built Surface
295 4,2,Woodland and Scrub
295 6,2,Woodland and Scrub
295 1,2,Woodland and Scrub
231 3,1,Built Surface
231 7,2,Woodland and Scrub
231 2,2,Woodland and Scrub
231 8,2,Woodland and Scrub
231 12,3,Amenity Grassland
231 1,3,Amenity Grassland
492 10,3,Amenity Grassland
492 6,3,Amenity Grassland
492 3,1,Built Surface
492 11,3,Amenity Grassland
492 7,3,Amenity Grassland
239 6,2,Woodland and Scrub
239 11,2,Woodland and Scrub
239 12,2,Woodland and Scrub
239 8,2,Woodland and Scrub
239 3,1,Built Surface
239 5,1,Built Surface
239 1,1,Built Surface
335 7,1,Built Surface
335 9,3,Amenity Grassland
335 1,1,Built Surface
335 10,3,Amenity Grassland
336 8,1,Built Surface
336 10,3,Amenity Grassland
336 9,2,Woodland and Scrub
336 1,3,Amenity Grassland
336 6,2,Woodland and Scrub
336 2,1,Built Surface
906 4,3,Amenity Grassland
906 6,2,Woodland and Scrub
906 9,3,Amenity Grassland
906 8,3,Amenity Grassland
906 2,3,Amenity Grassland
906 5,2,Woodland and Scrub
906 7,2,Woodland and Scrub
474 6,1,Built Surface
474 4,3,Amenity Grassland
474 5,2,Woodland and Scrub
506 8,2,Woodland and Scrub
506 10,3,Amenity Grassland
506 12,2,Woodland and Scrub
506 4,3,Amenity Grassland
506 5,3,Amenity Grassland
506 1,2,Woodland and Scrub
506 2,3,Amenity Grassland
538 7,3,Amenity Grassland
538 11,2,Woodland and Scrub
569 8,2,Woodland and Scrub
569 3,3,Amenity Grassland
569 5,2,Woodland and Scrub
569 4,3,Amenity Grassland
569 9,3,Amenity Grassland
569 2,2,Woodland and Scrub
569 11,2,Woodland and Scrub
542 2,3,Amenity Grassland
542 3,3,Amenity Grassland
542 4,3,Amenity Grassland
542 6,3,Amenity Grassland
542 9,2,Woodland and Scrub
542 5,3,Amenity Grassland
542 11,3,Amenity Grassland
542 1,3,Amenity Grassland
654 2,1,Built Surface
654 6,1,Built Surface
654 5,1,Built Surface
654 12,1,Built Surface
917 7,2,Woodland and Scrub
917 1,3,Amenity Grassland
917 9,3,Amenity Grassland
917 8,3,Amenity Grassland
917 5,3,Amenity Grassland
917 6,2,Woodland and Scrub
917 11,2,Woodland and Scrub
948 5,2,Woodland and Scrub
948 3,3,Amenity Grassland
948 9,3,Amenity Grassland
948 8,3,Amenity Grassland
948 7,3,Amenity Grassland
948 2,3,Amenity Grassland
948 4,3,Amenity Grassland
713 3,2,Woodland and Scrub
713 6,2,Woodland and Scrub
713 9,2,Woodland and Scrub
713 8,1,Built Surface
713 12,3,Amenity Grassland
776 9,2,Woodland and Scrub
776 5,3,Amenity Grassland
776 11,2,Woodland and Scrub
776 1,2,Woodland and Scrub
776 3,2,Woodland and Scrub
776 2,2,Woodland and Scrub
776 12,3,Amenity Grassland
663 6,1,Built Surface
663 3,3,Amenity Grassland
663 7,2,Woodland and Scrub
663 5,3,Amenity Grassland
663 8,1,Built Surface
566 8,3,Amenity Grassland
566 7,2,Woodland and Scrub
566 1,2,Woodland and Scrub
566 4,3,Amenity Grassland
566 6,3,Amenity Grassland
566 5,2,Woodland and Scrub
566 3,2,Woodland and Scrub
547 11,2,Woodland and Scrub
547 5,3,Amenity Grassland
547 7,3,Amenity Grassland
547 1,2,Woodland and Scrub
547 10,2,Woodland and Scrub
547 8,2,Woodland and Scrub
547 2,2,Woodland and Scrub
580 6,3,Amenity Grassland
580 5,3,Amenity Grassland
580 2,3,Amenity Grassland
580 1,3,Amenity Grassland
580 3,3,Amenity Grassland
580 7,3,Amenity Grassland
580 4,2,Woodland and Scrub
369 1,1,Built Surface
369 10,3,Amenity Grassland
369 7,3,Amenity Grassland
369 3,1,Built Surface
369 12,1,Built Surface
369 8,1,Built Surface
403 6,1,Built Surface
403 12,1,Built Surface
403 4,3,Amenity Grassland
403 7,2,Woodland and Scrub
403 3,3,Amenity Grassland
420 8,1,Built Surface
420 9,1,Built Surface
420 10,1,Built Surface
420 1,1,Built Surface
420 11,1,Built Surface
420 2,2,Woodland and Scrub
420 7,1,Built Surface
421 4,2,Woodland and Scrub
421 1,2,Woodland and Scrub
421 10,2,Woodland and Scrub
421 2,2,Woodland and Scrub
421 3,2,Woodland and Scrub
421 8,2,Woodland and Scrub
421 6,2,Woodland and Scrub
792 3,3,Amenity Grassland
792 11,1,Built Surface
792 4,3,Amenity Grassland
559 8,2,Woodland and Scrub
559 3,1,Built Surface
559 5,1,Built Surface
559 1,1,Built Surface
559 4,1,Built Surface
559 2,1,Built Surface
559 6,3,Amenity Grassland
